Date,Open,High,Low,Close,Volume
42095,40.6,40.76,40.31,40.72,36865322
42096,40.66,40.74,40.12,40.29,37487476
42100,40.34,41.78,40.18,41.55,39223692
42101,41.61,41.91,41.31,41.53,28809375
42102,41.48,41.69,41.04,41.42,24753438
42103,41.25,41.62,41.25,41.48,25723861
42104,41.63,41.95,41.41,41.72,28022002
42107,41.4,42.06,41.39,41.76,30276692
42108,41.8,42.03,41.39,41.65,24244382
42109,41.76,42.46,41.68,42.26,27343581
42110,41.95,42.34,41.82,42.16,22509652
42111,41.67,41.74,41.16,41.62,42387608
42114,41.73,43.17,41.68,42.91,46057733
42115,43,43.15,42.53,42.64,26013844
42116,42.67,43.13,42.55,42.99,25064273
42117,42.85,43.61,42.8,43.34,46309530
42118,45.66,48.14,45.65,47.87,130933665
42121,47.23,48.13,47.22,48.03,59248172
42122,47.78,49.21,47.7,49.16,60730778
42123,48.72,49.31,48.5,49.06,47804562
42124,48.7,49.54,48.6,48.64,64725457
42125,48.58,48.88,48.4,48.66,38937336
42128,48.37,48.87,48.18,48.24,34039485
42129,47.82,48.16,47.31,47.6,50369191
42130,47.57,47.77,46.02,46.28,52433020
42131,46.27,47.09,46.16,46.7,32971654
42132,47.55,47.98,47.52,47.75,35364911
42135,47.55,47.91,47.37,47.37,24609416
42136,46.85,47.68,46.42,47.35,29928264
42137,48.19,48.32,47.57,47.63,34184613
42138,48.03,48.82,48.03,48.72,32980892
42139,48.87,48.91,48.05,48.3,28642694
42142,47.98,48.22,47.61,48.01,24136502
42143,47.62,47.81,47.18,47.58,28574813
42144,47.39,47.93,47.27,47.58,25047919
42145,47.28,47.6,47.01,47.42,22410698
42146,47.3,47.35,46.82,46.9,25720583
42150,46.83,46.88,46.19,46.59,29581860
42151,46.82,47.77,46.62,47.61,27335639
42152,47.5,48.02,47.39,47.45,19283666
42153,47.43,47.57,46.59,46.86,36519594
42156,47.06,47.77,46.62,47.23,28837332
42157,46.95,47.35,46.62,46.92,21498326
42158,47.37,47.74,46.82,46.85,28002154
42159,46.79,47.16,46.2,46.36,27745512
42160,46.31,46.52,45.84,46.14,25438086
42163,46.3,46.43,45.67,45.73,22121634
42164,45.76,45.94,45.46,45.65,24406057
42165,45.79,46.83,45.69,46.61,28417405
42166,46.66,46.92,46.13,46.44,27347758
42167,46.2,46.47,45.9,45.97,23930972
42170,45.45,45.65,45.02,45.48,33254517
42171,45.35,46.24,45.3,45.83,27070306
42172,45.73,46.07,45.36,45.97,28704061
42173,46.22,46.8,46.17,46.72,32658343
42174,46.79,46.83,45.99,46.1,63837036
42177,46.33,46.72,46.16,46.23,20318055
42178,46.13,46.28,45.62,45.91,25896473
42179,45.68,46.25,45.55,45.64,34890901
42180,46.03,46.06,45.5,45.65,20615995
42181,45.65,46.28,45.03,45.26,49835287
42184,45.04,45.23,44.36,44.37,34081746
42185,44.71,44.72,43.94,44.15,35945384
42186,44.49,45.23,44.1,44.45,28343907
42187,44.48,44.75,44.06,44.4,21752013
42191,43.96,44.48,43.95,44.39,23033961
42192,44.34,44.49,43.32,44.3,36435827
42193,44.44,44.9,44.03,44.24,39785901
42194,44.75,45.22,44.5,44.52,32424672
42195,45.01,45.14,44.57,44.61,25465757
42198,44.98,45.62,44.95,45.54,28178329
42199,45.45,45.96,45.31,45.62,22880260
42200,45.68,45.89,45.43,45.76,26629615
42201,46.01,46.69,45.97,46.66,26271673
42202,46.55,46.78,46.26,46.62,29467107
42205,46.65,47.13,46.44,46.92,30631905
42206,46.78,47.33,46.48,47.28,42781899
42207,45.44,46.93,45.2,45.54,59152427
42208,45.27,46.23,45.1,46.11,33934010
42209,45.91,46.32,45.8,45.94,32333244
42212,45.94,46.01,45.25,45.35,39701420
42213,45.58,45.64,44.79,45.34,34328948
42214,45.4,46.78,45.26,46.29,40945864
42215,46.26,47.4,45.93,46.88,39777883
42216,47.29,47.37,46.5,46.7,31201480
42219,46.98,47,46.45,46.81,24125886
42220,46.75,47.71,46.68,47.54,33403916
42221,47.98,48.41,47.54,47.58,26959655
42222,47.71,47.77,46.33,46.62,27368000
42223,46.39,46.78,46.26,46.74,19163038
42226,46.95,47.49,46.84,47.33,23079870
42227,46.82,46.94,45.9,46.41,29237402
42228,46.19,46.9,45.71,46.74,30198532
42229,47.06,47.1,46.49,46.73,22627241
42230,46.53,47.1,46.52,47,21473402
42233,46.81,47.45,46.57,47.32,21099746
42234,46.84,47.43,46.7,47.27,23574104
42235,46.78,47.08,46.3,46.61,31485511
42236,46.07,46.47,45.66,45.66,36238227
42237,45.3,45.48,43.07,43.07,70053084
42240,40.45,43.31,39.72,41.68,88753660
42241,42.57,43.24,40.39,40.47,70616597
42242,42.01,42.84,41.06,42.71,63407996
42243,43.23,43.95,42.93,43.9,50943211
42244,43.4,44.15,43.39,43.93,28246725
42247,43.56,43.93,43.1,43.52,34441662
42248,42.17,42.59,41.66,41.82,49688896
42249,42.36,43.38,41.88,43.36,37671518
42250,43.41,43.98,43.28,43.5,28285205
42251,42.81,43.04,42.2,42.61,37138775
42255,43.3,44,43.2,43.89,32469766
42256,44.21,44.4,42.91,43.07,33469485
42257,43.12,43.79,42.75,43.29,31366630
42258,43.14,43.59,42.94,43.48,27132527
42261,43.43,43.44,42.86,43.04,23656048
42262,43.19,44.29,43.08,43.98,28882206
42263,43.97,44.38,43.84,44.3,23372162
42264,44.29,45,44.08,44.25,32768161
42265,43.5,43.99,43.33,43.48,63143684
42268,43.62,44.47,43.6,44.11,26177224
42269,43.38,44.05,43.31,43.9,28085903
42270,43.93,44.17,43.51,43.87,17145238
42271,43.45,44.13,43.27,43.91,27905607
42272,44.48,44.73,43.76,43.94,29384601
42275,43.83,44.09,43.21,43.29,27613785
42276,43.37,43.57,43.05,43.44,32763557
42277,43.88,44.3,43.66,44.26,34958880
42278,44.75,44.75,43.75,44.61,28657859
42279,44.27,45.57,43.92,45.57,41839035
42282,45.75,46.89,45.7,46.63,34369286
42283,46.33,47.18,46.22,46.75,27510808
42284,47.1,47.35,45.95,46.8,27711492
42285,46.56,47.52,46.5,47.45,33772709
42286,47.45,47.54,46.92,47.11,28600632
42289,46.98,47.07,46.5,47,19769066
42290,46.56,47.13,46.56,46.89,19987816
42291,46.65,47.1,46.53,46.68,24697766
42292,47.01,47.03,46.53,47.01,27189370
42293,47.02,47.54,46.9,47.51,26450334
42296,47.42,47.88,47.02,47.62,29387581
42297,47.44,47.81,47.02,47.77,30802235
42298,47.92,47.99,47.11,47.2,25264710
42299,47.53,48.95,47.09,48.03,56637074
42300,52.3,54.07,52.25,52.87,135227059
42303,52.53,54.32,52.5,54.25,64633324
42304,53.99,54.37,53.58,53.69,50999907
42305,53.54,53.98,52.86,53.98,47000753
42306,53.54,53.83,53.22,53.36,30202078
42307,53.32,53.99,52.62,52.64,46619761
42310,52.85,53.36,52.62,53.24,30284982
42311,52.93,54.39,52.9,54.15,36596931
42312,54.18,54.88,54.06,54.4,37087849
42313,54.49,54.7,54,54.38,31468485
42314,54.09,54.98,53.96,54.92,32851204
42317,54.55,54.87,53.56,54.16,32513067
42318,54.01,54.13,53.27,53.51,55283697
42319,53.7,54.2,53.46,53.65,36516260
42320,53.48,53.98,53.19,53.32,35361095
42321,53.07,53.29,52.53,52.84,36848175
42324,53.08,53.89,52.85,53.77,32165198
42325,53.17,53.53,52.85,52.97,31551255
42326,53,53.98,52.98,53.85,29710030
42327,53.99,54.66,53.78,53.94,28149228
42328,54.25,54.3,53.27,54.19,37147608
42331,54.25,54.46,53.75,54.19,28235918
42332,53.92,54.44,53.58,54.25,24600043
42333,54.09,54.23,53.69,53.69,21005147
42335,53.8,54.08,53.79,53.93,9009132
42338,54.54,54.96,54,54.35,56241417
42339,54.41,55.23,54.3,55.22,39952779
42340,55.32,55.96,55.06,55.21,47274879
42341,55.49,55.77,53.93,54.2,38627835
42342,54.12,56.23,54.1,55.91,43963662
42345,55.79,55.97,55.29,55.81,30709765
42346,55.47,56.1,54.99,55.79,32878026
42347,55.37,55.87,54.51,54.98,36373209
42348,55.39,55.66,55.01,55.27,31775826
42349,54.71,55.1,54.01,54.06,39549497
42352,54.33,55.21,53.68,55.14,47006491
42353,55.66,55.9,55.09,55.2,39842998
42354,55.54,56.25,54.76,56.13,37503300
42355,56.36,56.79,55.53,55.7,41280907
42356,55.77,56,54.03,54.13,84684164
42359,54.88,55.35,54.23,54.83,37246325
42360,54.99,55.48,54.5,55.35,28322241
42361,55.7,55.88,55.44,55.82,27279832
42362,55.86,55.96,55.43,55.67,9570002
42366,55.35,55.95,54.98,55.95,22458293
42367,56.29,56.85,56.06,56.55,27731403
42368,56.47,56.78,56.29,56.31,21704505
42369,56.04,56.19,55.42,55.48,27334061
42373,54.32,54.8,53.39,54.8,53777963
42374,54.93,55.39,54.54,55.05,34079674
42375,54.32,54.4,53.64,54.05,39518863
42376,52.7,53.49,52.07,52.17,56564852
42377,52.37,53.28,52.15,52.33,48753969
42380,52.51,52.85,51.46,52.3,36943756
42381,52.76,53.1,52.06,52.78,36095539
42382,53.8,54.07,51.3,51.64,66883571
42383,52,53.42,51.57,53.11,52381918
42384,51.31,51.97,50.34,50.99,71820697
42388,51.48,51.68,50.06,50.56,43564538
42389,49.98,51.38,49.1,50.79,63272993
42390,51,51.58,50.3,50.48,40191157
42391,51.41,52.33,51.26,52.29,37555789
